CELDA_ORIGEN ;NOMBRE_CELDA_ORIGEN ;CELDA_DESTINO ;NOMBRE_CELDA_DESTINO ;FLUJO ;
001A ;Montesinos, Los y Algorfa ;002A ;Formentera del Segura y otros municipios ;46 ;
001A ;Montesinos, Los y Algorfa ;003A ;Bigastro y Jacarilla ;17 ;
001A ;Montesinos, Los y Algorfa ;021A ;Orihuela (distrito 08) y Rafal ;17 ;
001A ;Montesinos, Los y Algorfa ;023A ;Almoradí ;75 ;
001A ;Montesinos, Los y Algorfa ;036A ;Crevillent ;17 ;
001A ;Montesinos, Los y Algorfa ;041A ;Guardamar del Segura ;17 ;
001A ;Montesinos, Los y Algorfa ;058A ;Rojales ;133 ;
001A ;Montesinos, Los y Algorfa ;061A ;San Miguel de Salinas ;46 ;
001A ;Montesinos, Los y Algorfa ;083A ;Elche/Elx (distrito 07 y sección 023 del distrito 06) ;17 ;
001A ;Montesinos, Los y Algorfa ;091A ;Orihuela (distrito 05) ;50 ;
001A ;Montesinos, Los y Algorfa ;097A ;Torrevieja (distrito 01) ;207 ;
001A ;Montesinos, Los y Algorfa ;098A ;Torrevieja (distrito 02) ;99 ;
001A ;Montesinos, Los y Algorfa ;099A ;Torrevieja (distrito 03) ;50 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;008B ;Sant Vicenç de Castellet y otros municipios ;31 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;073B ;Sant Salvador de Guardiola y Manresa (distrito 06) ;116 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;106B ;Sallent ;37 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;107B ;Santpedor ;79 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;117B ;Sant Fruitós de Bages ;127 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;137B ;Súria ;75 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;253B ;Manresa (distrito 02) ;231 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;254B ;Manresa (distritos 01 y 03) ;39 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;255B ;Manresa (distrito 04) ;234 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;256B ;Manresa (distrito 05) ;170 ;
001M ;Fuentidueña de Tajo y otros municipios ;002M ;Perales de Tajuña y otros municipios ;20 ;
001M ;Fuentidueña de Tajo y otros municipios ;04CU ;Barajas de Melo y otros municipios ;22 ;
001M ;Fuentidueña de Tajo y otros municipios ;080M ;Villarejo de Salvanés ;28 ;
001M ;Fuentidueña de Tajo y otros municipios ;096M ;Arganda del Rey ;27 ;
001M ;Fuentidueña de Tajo y otros municipios ;11GU ;Mondéjar y otros municipios ;29 ;
001M ;Fuentidueña de Tajo y otros municipios ;26CU ;Tarancón ;34 ;
001S ;Real de la Jara, El y otros municipios ;025S ;Alcalá del Río ;25 ;
001S ;Real de la Jara, El y otros municipios ;040S ;Castilblanco de los Arroyos ;58 ;
001S ;Real de la Jara, El y otros municipios ;055S ;Guillena ;27 ;
001S ;Real de la Jara, El y otros municipios ;10HU ;Santa Olalla del Cala y otros municipios ;27 ;
001S ;Real de la Jara, El y otros municipios ;12HU ;Minas de Riotinto y otros municipios ;35 ;
001V ;Daimús y otros municipios ;002V ;Bellreguard y otros municipios ;183 ;
001V ;Daimús y otros municipios ;003V ;Gandia (distritos 01 y 03) ;153 ;
001V ;Daimús y otros municipios ;004V ;Vilallonga/Villalonga y Ador ;49 ;
001V ;Daimús y otros municipios ;012V ;Xeraco y Xeresa ;24 ;
001V ;Daimús y otros municipios ;037A ;Dénia ;47 ;
001V ;Daimús y otros municipios ;049V ;Oliva y otros municipios ;111 ;
001V ;Daimús y otros municipios ;093V ;Gandia (distrito 04) ;141 ;
001V ;Daimús y otros municipios ;127V ;Cullera ;24 ;
001V ;Daimús y otros municipios ;142V ;Gandia (distrito 02) ;62 ;
002A ;Formentera del Segura y otros municipios ;001A ;Montesinos, Los y Algorfa ;44 ;
002A ;Formentera del Segura y otros municipios ;004A ;Cox y otros municipios ;17 ;
002A ;Formentera del Segura y otros municipios ;005A ;Albatera y San Isidro ;17 ;
002A ;Formentera del Segura y otros municipios ;021A ;Orihuela (distrito 08) y Rafal ;17 ;
002A ;Formentera del Segura y otros municipios ;023A ;Almoradí ;225 ;
002A ;Formentera del Segura y otros municipios ;031A ;Callosa de Segura ;17 ;
002A ;Formentera del Segura y otros municipios ;034A ;Catral ;17 ;
002A ;Formentera del Segura y otros municipios ;036A ;Crevillent ;17 ;
002A ;Formentera del Segura y otros municipios ;038A ;Dolores ;17 ;
002A ;Formentera del Segura y otros municipios ;041A ;Guardamar del Segura ;48 ;
002A ;Formentera del Segura y otros municipios ;058A ;Rojales ;547 ;
002A ;Formentera del Segura y otros municipios ;059A ;San Fulgencio ;106 ;
002A ;Formentera del Segura y otros municipios ;062A ;Santa Pola ;17 ;
002A ;Formentera del Segura y otros municipios ;078A ;Elche/Elx (distrito 02) ;17 ;
002A ;Formentera del Segura y otros municipios ;083A ;Elche/Elx (distrito 07 y sección 023 del distrito 06) ;44 ;
002A ;Formentera del Segura y otros municipios ;091A ;Orihuela (distrito 05) ;33 ;
002A ;Formentera del Segura y otros municipios ;093A ;Orihuela (distrito 07) ;17 ;
002A ;Formentera del Segura y otros municipios ;097A ;Torrevieja (distrito 01) ;17 ;
002A ;Formentera del Segura y otros municipios ;098A ;Torrevieja (distrito 02) ;17 ;
002A ;Formentera del Segura y otros municipios ;099A ;Torrevieja (distrito 03) ;17 ;
002A ;Formentera del Segura y otros municipios ;116A ;Alicante (SCD Number 8-B) ;17 ;
002B ;Òdena y otros municipios ;003B ;Torre de Claramunt, La y Pobla de Claramunt, La ;131 ;
002B ;Òdena y otros municipios ;004B ;Capellades y Vallbona d'Anoia ;18 ;
002B ;Òdena y otros municipios ;009B ;Hostalets de Pierola, Els y Bruc, El ;16 ;
002B ;Òdena y otros municipios ;019B ;Sant Pere de Vilamajor y otros municipios ;30 ;
002B ;Òdena y otros municipios ;074B ;Igualada ;589 ;
002B ;Òdena y otros municipios ;098B ;Piera ;16 ;
002B ;Òdena y otros municipios ;129B ;Santa Margarida de Montbui ;70 ;
002B ;Òdena y otros municipios ;145B ;Vilanova del Camí ;135 ;
002M ;Perales de Tajuña y otros municipios ;003M ;Valdilecha y otros municipios ;32 ;
002M ;Perales de Tajuña y otros municipios ;080M ;Villarejo de Salvanés ;55 ;
002M ;Perales de Tajuña y otros municipios ;096M ;Arganda del Rey ;177 ;
002S ;Cazalla de la Sierra y Pedroso, El ;005S ;Constantina y Navas de la Concepción, Las ;55 ;
002S ;Cazalla de la Sierra y Pedroso, El ;040S ;Castilblanco de los Arroyos ;38 ;
002V ;Bellreguard y otros municipios ;001V ;Daimús y otros municipios ;138 ;
002V ;Bellreguard y otros municipios ;003V ;Gandia (distritos 01 y 03) ;166 ;
002V ;Bellreguard y otros municipios ;004V ;Vilallonga/Villalonga y Ador ;34 ;
002V ;Bellreguard y otros municipios ;005V ;Font d'En Carròs, la y otros municipios ;62 ;
002V ;Bellreguard y otros municipios ;006V ;Real de Gandía y otros municipios ;84 ;
002V ;Bellreguard y otros municipios ;037A ;Dénia ;37 ;
002V ;Bellreguard y otros municipios ;049V ;Oliva y otros municipios ;361 ;
002V ;Bellreguard y otros municipios ;051V ;Gandia (distrito 07) y Benirredrà ;27 ;
002V ;Bellreguard y otros municipios ;093V ;Gandia (distrito 04) ;54 ;
002V ;Bellreguard y otros municipios ;142V ;Gandia (distrito 02) ;83 ;
003A ;Bigastro y Jacarilla ;001A ;Montesinos, Los y Algorfa ;18 ;
003A ;Bigastro y Jacarilla ;002A ;Formentera del Segura y otros municipios ;18 ;
003A ;Bigastro y Jacarilla ;004A ;Cox y otros municipios ;18 ;
003A ;Bigastro y Jacarilla ;021A ;Orihuela (distrito 08) y Rafal ;282 ;
003A ;Bigastro y Jacarilla ;023A ;Almoradí ;18 ;
003A ;Bigastro y Jacarilla ;027A ;Benejúzar ;41 ;
003A ;Bigastro y Jacarilla ;031A ;Callosa de Segura ;18 ;
003A ;Bigastro y Jacarilla ;038A ;Dolores ;18 ;
003A ;Bigastro y Jacarilla ;03MU ;Abanilla ;58 ;
003A ;Bigastro y Jacarilla ;041A ;Guardamar del Segura ;18 ;
003A ;Bigastro y Jacarilla ;057A ;Redován ;18 ;
003A ;Bigastro y Jacarilla ;058A ;Rojales ;18 ;
003A ;Bigastro y Jacarilla ;061A ;San Miguel de Salinas ;18 ;
003A ;Bigastro y Jacarilla ;065A ;Pilar de la Horadada ;18 ;
003A ;Bigastro y Jacarilla ;083A ;Elche/Elx (distrito 07 y sección 023 del distrito 06) ;18 ;
003A ;Bigastro y Jacarilla ;087A ;Orihuela (distrito 01) ;18 ;
003A ;Bigastro y Jacarilla ;088A ;Orihuela (distrito 02) ;18 ;
003A ;Bigastro y Jacarilla ;089A ;Orihuela (distrito 03) ;18 ;
003A ;Bigastro y Jacarilla ;090A ;Orihuela (distrito 04) ;18 ;
003A ;Bigastro y Jacarilla ;091A ;Orihuela (distrito 05) ;87 ;
003A ;Bigastro y Jacarilla ;092A ;Orihuela (distrito 06) ;253 ;
003A ;Bigastro y Jacarilla ;093A ;Orihuela (distrito 07) ;18 ;
003A ;Bigastro y Jacarilla ;097A ;Torrevieja (distrito 01) ;18 ;
003A ;Bigastro y Jacarilla ;098A ;Torrevieja (distrito 02) ;18 ;
003A ;Bigastro y Jacarilla ;099A ;Torrevieja (distrito 03) ;18 ;
003A ;Bigastro y Jacarilla ;116A ;Alicante (SCD Number 8-B) ;18 ;
003A ;Bigastro y Jacarilla ;58MU ;Murcia (SCD Number 4-B) ;18 ;
003B ;Torre de Claramunt, La y Pobla de Claramunt, La ;002B ;Òdena y otros municipios ;40 ;
003B ;Torre de Claramunt, La y Pobla de Claramunt, La ;004B ;Capellades y Vallbona d'Anoia ;72 ;
003B ;Torre de Claramunt, La y Pobla de Claramunt, La ;074B ;Igualada ;95 ;
003B ;Torre de Claramunt, La y Pobla de Claramunt, La ;098B ;Piera ;34 ;
003B ;Torre de Claramunt, La y Pobla de Claramunt, La ;129B ;Santa Margarida de Montbui ;24 ;
003B ;Torre de Claramunt, La y Pobla de Claramunt, La ;145B ;Vilanova del Camí ;59 ;
003M ;Valdilecha y otros municipios ;002M ;Perales de Tajuña y otros municipios ;27 ;
003M ;Valdilecha y otros municipios ;004M ;Anchuelo y otros municipios ;68 ;
003M ;Valdilecha y otros municipios ;035M ;Campo Real ;46 ;
003M ;Valdilecha y otros municipios ;050M ;Loeches ;34 ;
003M ;Valdilecha y otros municipios ;060M ;Nuevo Baztán ;176 ;
003M ;Valdilecha y otros municipios ;096M ;Arganda del Rey ;130 ;
003V ;Gandia (distritos 01 y 03) ;001V ;Daimús y otros municipios ;29 ;
003V ;Gandia (distritos 01 y 03) ;002V ;Bellreguard y otros municipios ;36 ;
003V ;Gandia (distritos 01 y 03) ;004V ;Vilallonga/Villalonga y Ador ;27 ;
003V ;Gandia (distritos 01 y 03) ;005V ;Font d'En Carròs, la y otros municipios ;20 ;
003V ;Gandia (distritos 01 y 03) ;006V ;Real de Gandía y otros municipios ;75 ;
003V ;Gandia (distritos 01 y 03) ;049V ;Oliva y otros municipios ;78 ;
003V ;Gandia (distritos 01 y 03) ;051V ;Gandia (distrito 07) y Benirredrà ;90 ;
003V ;Gandia (distritos 01 y 03) ;075V ;Gandia (distrito 06) ;60 ;
003V ;Gandia (distritos 01 y 03) ;089V ;Gandia (distrito 05) ;88 ;
003V ;Gandia (distritos 01 y 03) ;093V ;Gandia (distrito 04) ;106 ;
003V ;Gandia (distritos 01 y 03) ;107V ;Tavernes de la Valldigna ;17 ;
003V ;Gandia (distritos 01 y 03) ;142V ;Gandia (distrito 02) ;243 ;
004A ;Cox y otros municipios ;005A ;Albatera y San Isidro ;279 ;
004A ;Cox y otros municipios ;021A ;Orihuela (distrito 08) y Rafal ;84 ;
004A ;Cox y otros municipios ;031A ;Callosa de Segura ;235 ;
004A ;Cox y otros municipios ;036A ;Crevillent ;77 ;
004A ;Cox y otros municipios ;057A ;Redován ;59 ;
004A ;Cox y otros municipios ;093A ;Orihuela (distrito 07) ;186 ;
004B ;Capellades y Vallbona d'Anoia ;003B ;Torre de Claramunt, La y Pobla de Claramunt, La ;137 ;
004B ;Capellades y Vallbona d'Anoia ;074B ;Igualada ;29 ;
004B ;Capellades y Vallbona d'Anoia ;098B ;Piera ;128 ;
004M ;Anchuelo y otros municipios ;003M ;Valdilecha y otros municipios ;96 ;
004M ;Anchuelo y otros municipios ;060M ;Nuevo Baztán ;37 ;
004M ;Anchuelo y otros municipios ;077M ;Villalbilla ;80 ;
004M ;Anchuelo y otros municipios ;084M ;Alcalá de Henares (distrito 02) ;20 ;
004M ;Anchuelo y otros municipios ;085M ;Alcalá de Henares (distrito 03) ;22 ;
004M ;Anchuelo y otros municipios ;10GU ;Pioz y Pozo de Guadalajara ;31 ;
004M ;Anchuelo y otros municipios ;12GU ;Loranca de Tajuña y otros municipios ;39 ;
004S ;Peñaflor y Puebla de los Infantes, La ;006S ;Lora del Río y Alcolea del Río ;75 ;
004S ;Peñaflor y Puebla de los Infantes, La ;15CO ;Posadas y Hornachuelos ;33 ;
004S ;Peñaflor y Puebla de los Infantes, La ;61CO ;Palma del Río ;168 ;
004V ;Vilallonga/Villalonga y Ador ;001V ;Daimús y otros municipios ;28 ;
004V ;Vilallonga/Villalonga y Ador ;002V ;Bellreguard y otros municipios ;30 ;
004V ;Vilallonga/Villalonga y Ador ;003V ;Gandia (distritos 01 y 03) ;81 ;
004V ;Vilallonga/Villalonga y Ador ;005V ;Font d'En Carròs, la y otros municipios ;77 ;
004V ;Vilallonga/Villalonga y Ador ;006V ;Real de Gandía y otros municipios ;116 ;
004V ;Vilallonga/Villalonga y Ador ;042V ;Rótova y otros municipios ;40 ;
004V ;Vilallonga/Villalonga y Ador ;049V ;Oliva y otros municipios ;76 ;
004V ;Vilallonga/Villalonga y Ador ;093V ;Gandia (distrito 04) ;34 ;
004V ;Vilallonga/Villalonga y Ador ;142V ;Gandia (distrito 02) ;41 ;
005A ;Albatera y San Isidro ;004A ;Cox y otros municipios ;295 ;
005A ;Albatera y San Isidro ;021A ;Orihuela (distrito 08) y Rafal ;54 ;
005A ;Albatera y San Isidro ;023A ;Almoradí ;46 ;
005A ;Albatera y San Isidro ;031A ;Callosa de Segura ;80 ;
005A ;Albatera y San Isidro ;034A ;Catral ;86 ;
005A ;Albatera y San Isidro ;036A ;Crevillent ;208 ;
005A ;Albatera y San Isidro ;057A ;Redován ;66 ;
005A ;Albatera y San Isidro ;077A ;Elche/Elx (distrito 01) ;30 ;
005A ;Albatera y San Isidro ;078A ;Elche/Elx (distrito 02) ;23 ;
005A ;Albatera y San Isidro ;080A ;Elche/Elx (distrito 04) ;26 ;
005A ;Albatera y San Isidro ;082A ;Elche/Elx (secciones 001 a 022 del distrito 06) ;22 ;
005A ;Albatera y San Isidro ;083A ;Elche/Elx (distrito 07 y sección 023 del distrito 06) ;175 ;
005A ;Albatera y San Isidro ;093A ;Orihuela (distrito 07) ;96 ;
005B ;Mediona y otros municipios ;004B ;Capellades y Vallbona d'Anoia ;24 ;
005B ;Mediona y otros municipios ;023B ;Sant Pere de Riudebitlles y otros municipios ;103 ;
005B ;Mediona y otros municipios ;024B ;Font-rubí y otros municipios ;50 ;
005B ;Mediona y otros municipios ;098B ;Piera ;34 ;
005B ;Mediona y otros municipios ;146B ;Vilafranca del Penedès ;37 ;
005M ;Lozoyuela-Navas-Sieteiglesias y otros municipios ;007M ;Buitrago del Lozoya y otros municipios ;142 ;
005M ;Lozoyuela-Navas-Sieteiglesias y otros municipios ;019M ;Cabrera, La y otros municipios ;61 ;
005M ;Lozoyuela-Navas-Sieteiglesias y otros municipios ;022M ;Torrelaguna y Redueña ;32 ;
005M ;Lozoyuela-Navas-Sieteiglesias y otros municipios ;06GU ;Humanes y otros municipios ;53 ;
005M ;Lozoyuela-Navas-Sieteiglesias y otros municipios ;16GU ;Casar, El y Uceda ;53 ;
005S ;Constantina y Navas de la Concepción, Las ;002S ;Cazalla de la Sierra y Pedroso, El ;87 ;
005V ;Font d'En Carròs, la y otros municipios ;002V ;Bellreguard y otros municipios ;91 ;
005V ;Font d'En Carròs, la y otros municipios ;003V ;Gandia (distritos 01 y 03) ;51 ;
005V ;Font d'En Carròs, la y otros municipios ;004V ;Vilallonga/Villalonga y Ador ;139 ;
005V ;Font d'En Carròs, la y otros municipios ;006V ;Real de Gandía y otros municipios ;183 ;
005V ;Font d'En Carròs, la y otros municipios ;049V ;Oliva y otros municipios ;140 ;
005V ;Font d'En Carròs, la y otros municipios ;142V ;Gandia (distrito 02) ;34 ;
006A ;Fondó de les Neus, el/Hondón de las Nieves y otros municipios ;025A ;Aspe ;102 ;
006A ;Fondó de les Neus, el/Hondón de las Nieves y otros municipios ;03MU ;Abanilla ;52 ;
006A ;Fondó de les Neus, el/Hondón de las Nieves y otros municipios ;048A ;Novelda ;54 ;
006A ;Fondó de les Neus, el/Hondón de las Nieves y otros municipios ;055A ;Pinós, el/Pinoso ;27 ;
006A ;Fondó de les Neus, el/Hondón de las Nieves y otros municipios ;083A ;Elche/Elx (distrito 07 y sección 023 del distrito 06) ;64 ;
006B ;Subirats y Olesa de Bonesvalls ;012B ;Gelida y Castellví de Rosanes ;35 ;
006B ;Subirats y Olesa de Bonesvalls ;014B ;Canyelles y Olivella ;20 ;
006B ;Subirats y Olesa de Bonesvalls ;020B ;Granada, La y otros municipios ;70 ;
006B ;Subirats y Olesa de Bonesvalls ;021B ;Olèrdola y Castellet i la Gornal ;20 ;
006B ;Subirats y Olesa de Bonesvalls ;023B ;Sant Pere de Riudebitlles y otros municipios ;46 ;
006B ;Subirats y Olesa de Bonesvalls ;024B ;Font-rubí y otros municipios ;20 ;
006B ;Subirats y Olesa de Bonesvalls ;126B ;Sant Sadurní d'Anoia ;143 ;
006B ;Subirats y Olesa de Bonesvalls ;143B ;Vallirana ;19 ;
006B ;Subirats y Olesa de Bonesvalls ;146B ;Vilafranca del Penedès ;48 ;
006S ;Lora del Río y Alcolea del Río ;004S ;Peñaflor y Puebla de los Infantes, La ;55 ;
006S ;Lora del Río y Alcolea del Río ;037S ;Campana, La ;98 ;
006S ;Lora del Río y Alcolea del Río ;039S ;Carmona ;202 ;
006S ;Lora del Río y Alcolea del Río ;119S ;Villanueva del Río y Minas ;69 ;
006S ;Lora del Río y Alcolea del Río ;61CO ;Palma del Río ;49 ;
006V ;Real de Gandía y otros municipios ;002V ;Bellreguard y otros municipios ;85 ;
006V ;Real de Gandía y otros municipios ;003V ;Gandia (distritos 01 y 03) ;191 ;
006V ;Real de Gandía y otros municipios ;004V ;Vilallonga/Villalonga y Ador ;118 ;
006V ;Real de Gandía y otros municipios ;005V ;Font d'En Carròs, la y otros municipios ;135 ;
006V ;Real de Gandía y otros municipios ;049V ;Oliva y otros municipios ;96 ;
006V ;Real de Gandía y otros municipios ;051V ;Gandia (distrito 07) y Benirredrà ;103 ;
006V ;Real de Gandía y otros municipios ;075V ;Gandia (distrito 06) ;37 ;
006V ;Real de Gandía y otros municipios ;089V ;Gandia (distrito 05) ;56 ;
006V ;Real de Gandía y otros municipios ;093V ;Gandia (distrito 04) ;57 ;
006V ;Real de Gandía y otros municipios ;142V ;Gandia (distrito 02) ;73 ;
007A ;Sax y Salinas ;008A ;Elda (distritos 02 y 03) ;74 ;
007A ;Sax y Salinas ;054A ;Petrer ;103 ;
007A ;Sax y Salinas ;064A ;Villena ;98 ;
007B ;Castellbell i el Vilar y otros municipios ;008B ;Sant Vicenç de Castellet y otros municipios ;149 ;
007B ;Castellbell i el Vilar y otros municipios ;142B ;Vacarisses ;166 ;
007M ;Buitrago del Lozoya y otros municipios ;005M ;Lozoyuela-Navas-Sieteiglesias y otros municipios ;173 ;
007M ;Buitrago del Lozoya y otros municipios ;019M ;Cabrera, La y otros municipios ;43 ;
007M ;Buitrago del Lozoya y otros municipios ;020M ;Miraflores de la Sierra y Bustarviejo ;17 ;
007S ;Luisiana, La y Cañada Rosal ;049S ;Écija ;302 ;
007V ;Simat de la Valldigna y Benifairó de la Valldigna ;011V ;Llutxent y otros municipios ;33 ;
007V ;Simat de la Valldigna y Benifairó de la Valldigna ;107V ;Tavernes de la Valldigna ;341 ;
008A ;Elda (distritos 02 y 03) ;007A ;Sax y Salinas ;53 ;
008A ;Elda (distritos 02 y 03) ;046A ;Monóvar/Monòver ;102 ;
008A ;Elda (distritos 02 y 03) ;048A ;Novelda ;30 ;
008A ;Elda (distritos 02 y 03) ;054A ;Petrer ;154 ;
008A ;Elda (distritos 02 y 03) ;084A ;Elda (distrito 01) ;131 ;
008A ;Elda (distritos 02 y 03) ;085A ;Elda (distrito 04) ;44 ;
008A ;Elda (distritos 02 y 03) ;086A ;Elda (distrito 05) ;112 ;
008B ;Sant Vicenç de Castellet y otros municipios ;001B ;Sant Joan de Vilatorrada y otros municipios ;23 ;
008B ;Sant Vicenç de Castellet y otros municipios ;007B ;Castellbell i el Vilar y otros municipios ;156 ;
008B ;Sant Vicenç de Castellet y otros municipios ;073B ;Sant Salvador de Guardiola y Manresa (distrito 06) ;60 ;
008B ;Sant Vicenç de Castellet y otros municipios ;104B ;Pont de Vilomara i Rocafort, El ;44 ;
008B ;Sant Vicenç de Castellet y otros municipios ;117B ;Sant Fruitós de Bages ;38 ;
008B ;Sant Vicenç de Castellet y otros municipios ;142B ;Vacarisses ;36 ;
008B ;Sant Vicenç de Castellet y otros municipios ;253B ;Manresa (distrito 02) ;30 ;
008B ;Sant Vicenç de Castellet y otros municipios ;255B ;Manresa (distrito 04) ;64 ;
008B ;Sant Vicenç de Castellet y otros municipios ;256B ;Manresa (distrito 05) ;115 ;
008M ;Cercedilla y Navacerrada ;031M ;Becerril de la Sierra ;51 ;
008M ;Cercedilla y Navacerrada ;047M ;Guadarrama ;98 ;
008M ;Cercedilla y Navacerrada ;055M ;Molinos, Los ;185 ;
008M ;Cercedilla y Navacerrada ;098M ;Collado Villalba ;48 ;
008S ;Rubio, El y Marinaleda ;010S ;Estepa y Lora de Estepa ;60 ;
008S ;Rubio, El y Marinaleda ;049S ;Écija ;75 ;
008V ;Manuel y otros municipios ;009V ;Pobla Llarga, la y otros municipios ;167 ;
008V ;Manuel y otros municipios ;035V ;Alcàntera de Xúquer y otros municipios ;34 ;
008V ;Manuel y otros municipios ;062V ;Villanueva de Castellón ;28 ;
008V ;Manuel y otros municipios ;088V ;Alcúdia, l' ;25 ;
008V ;Manuel y otros municipios ;123V ;Carcaixent ;24 ;
008V ;Manuel y otros municipios ;151V ;Xàtiva ;80 ;
008V ;Manuel y otros municipios ;164V ;Alzira ;31 ;
009A ;Agost y Tibi ;033A ;Castalla ;85 ;
009A ;Agost y Tibi ;042A ;Ibi ;31 ;
009A ;Agost y Tibi ;096A ;San Vicente del Raspeig/Sant Vicent del Raspeig (distrito 03) ;22 ;
009A ;Agost y Tibi ;116A ;Alicante (SCD Number 8-B) ;65 ;
009B ;Hostalets de Pierola, Els y Bruc, El ;002B ;Òdena y otros municipios ;20 ;
009B ;Hostalets de Pierola, Els y Bruc, El ;011B ;Sant Esteve Sesrovires y Sant Llorenç d'Hortons ;37 ;
009B ;Hostalets de Pierola, Els y Bruc, El ;046B ;Abrera ;20 ;
009B ;Hostalets de Pierola, Els y Bruc, El ;064B ;Collbató ;56 ;
009B ;Hostalets de Pierola, Els y Bruc, El ;068B ;Esparreguera ;46 ;
009B ;Hostalets de Pierola, Els y Bruc, El ;083B ;Masquefa ;112 ;
009B ;Hostalets de Pierola, Els y Bruc, El ;093B ;Olesa de Montserrat ;27 ;
009B ;Hostalets de Pierola, Els y Bruc, El ;098B ;Piera ;139 ;
009M ;Robledo de Chavela y otros municipios ;011M ;Navalagamella y otros municipios ;43 ;
009M ;Robledo de Chavela y otros municipios ;014M ;San Martín de Valdeiglesias y Pelayos de la Presa ;21 ;
009M ;Robledo de Chavela y otros municipios ;043M ;Escorial, El ;19 ;
009M ;Robledo de Chavela y otros municipios ;066M ;San Lorenzo de El Escorial ;32 ;
009M ;Robledo de Chavela y otros municipios ;06AV ;Navas del Marqués, Las y Peguerinos ;41 ;
009M ;Robledo de Chavela y otros municipios ;074M ;Valdemorillo ;37 ;
009S ;Gilena y Aguadulce ;010S ;Estepa y Lora de Estepa ;27 ;
009S ;Gilena y Aguadulce ;022S ;Osuna y Lantejuela ;112 ;
009V ;Pobla Llarga, la y otros municipios ;008V ;Manuel y otros municipios ;137 ;
009V ;Pobla Llarga, la y otros municipios ;050V ;Alberic y otros municipios ;53 ;
009V ;Pobla Llarga, la y otros municipios ;062V ;Villanueva de Castellón ;141 ;
009V ;Pobla Llarga, la y otros municipios ;123V ;Carcaixent ;66 ;
009V ;Pobla Llarga, la y otros municipios ;151V ;Xàtiva ;22 ;
009V ;Pobla Llarga, la y otros municipios ;164V ;Alzira ;59 ;
010A ;Biar y otros municipios ;026A ;Banyeres de Mariola ;227 ;
010A ;Biar y otros municipios ;064A ;Villena ;254 ;
010B ;Viladecavalls y Ullastrell ;046B ;Abrera ;77 ;
010B ;Viladecavalls y Ullastrell ;062B ;Castellbisbal ;45 ;
010B ;Viladecavalls y Ullastrell ;068B ;Esparreguera ;31 ;
010B ;Viladecavalls y Ullastrell ;081B ;Martorell ;24 ;
010B ;Viladecavalls y Ullastrell ;093B ;Olesa de Montserrat ;39 ;
010B ;Viladecavalls y Ullastrell ;142B ;Vacarisses ;25 ;
010B ;Viladecavalls y Ullastrell ;273B ;Rubí (distrito 02) ;23 ;
010B ;Viladecavalls y Ullastrell ;302B ;Terrassa (distrito 01) ;43 ;
010B ;Viladecavalls y Ullastrell ;304B ;Terrassa (distrito 03 y secciones 001 a 004 del distrito 07) ;115 ;
010B ;Viladecavalls y Ullastrell ;305B ;Terrassa (distrito 04) ;178 ;
010B ;Viladecavalls y Ullastrell ;306B ;Terrassa (distrito 05) ;79 ;
010B ;Viladecavalls y Ullastrell ;307B ;Terrassa (distrito 06) ;24 ;
010M ;Navas del Rey y Chapinería ;011M ;Navalagamella y otros municipios ;28 ;
010M ;Navas del Rey y Chapinería ;012M ;Quijorna y otros municipios ;54 ;
010M ;Navas del Rey y Chapinería ;014M ;San Martín de Valdeiglesias y Pelayos de la Presa ;37 ;
010S ;Estepa y Lora de Estepa ;008S ;Rubio, El y Marinaleda ;48 ;
010S ;Estepa y Lora de Estepa ;009S ;Gilena y Aguadulce ;21 ;
010S ;Estepa y Lora de Estepa ;022S ;Osuna y Lantejuela ;55 ;
010S ;Estepa y Lora de Estepa ;049S ;Écija ;427 ;
010S ;Estepa y Lora de Estepa ;056S ;Herrera ;46 ;
010S ;Estepa y Lora de Estepa ;070S ;Roda de Andalucía, La ;50 ;
010S ;Estepa y Lora de Estepa ;64CO ;Puente Genil ;44 ;
010V ;Genovés y otros municipios ;037V ;Llosa de Ranes, la y otros municipios ;99 ;
010V ;Genovés y otros municipios ;151V ;Xàtiva ;169 ;
011A ;Busot y otros municipios ;022A ;Alfàs del Pi, l' ;56 ;
011A ;Busot y otros municipios ;032A ;Campello, el ;41 ;
011A ;Busot y otros municipios ;039A ;Finestrat ;26 ;
011A ;Busot y otros municipios ;047A ;Mutxamel ;87 ;
011A ;Busot y otros municipios ;060A ;Sant Joan d'Alacant ;30 ;
011A ;Busot y otros municipios ;063A ;Villajoyosa/Vila Joiosa, la ;83 ;
011A ;Busot y otros municipios ;073A ;Benidorm (distrito 01) ;53 ;
011A ;Busot y otros municipios ;074A ;Benidorm (distrito 02) ;66 ;
011A ;Busot y otros municipios ;076A ;Benidorm (distrito 04) ;28 ;
